"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.887781262445241,0.888888888888889,0.896650326797386,1.97
2,100,0.0181310795498317,0.811111111111111,0.716666666666667,0.807687550544693,0.811111111111111,0.83968253968254,2
3,100,0.0181310795498317,0.9,0.85,0.899079442957677,0.9,0.902461623218892,2.03
4,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.877037120163593,0.877777777777778,0.887554220887554,2
5,100,0.0181310795498317,0.922222222222222,0.883333333333333,0.922066094197242,0.922222222222222,0.926686217008798,1.98
6,100,0.0181310795498317,0.9,0.85,0.899683308494784,0.9,0.907020872865275,2.02
7,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.876633134624938,0.877777777777778,0.882934851359899,2.03
8,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.887896825396825,0.888888888888889,0.892408245349422,2.02
9,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.87639864689045,0.877777777777778,0.879539815023686,2.03
10,100,0.0181310795498317,0.855555555555556,0.783333333333333,0.853826399589112,0.855555555555556,0.862145593869732,2
11,100,0.0181310795498317,0.9,0.85,0.899232370543846,0.9,0.903113016016242,1.96
12,100,0.0181310795498317,0.933333333333333,0.9,0.932995055945876,0.933333333333333,0.937438905180841,2.03
13,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.876940451232904,0.877777777777778,0.89007724301842,2.03
14,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.876497795989321,0.877777777777778,0.882089175192623,2.17
15,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.888500388500388,0.888888888888889,0.896825396825397,1.91
16,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.888366188769415,0.888888888888889,0.89828431372549,2.06
17,100,0.0181310795498317,0.911111111111111,0.866666666666666,0.910813201135782,0.911111111111111,0.917613636363636,1.96
18,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.887864823348694,0.888888888888889,0.891025641025641,1.97
19,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.876633134624938,0.877777777777778,0.882934851359899,1.98
20,100,0.0181310795498317,0.944444444444444,0.916666666666667,0.944305207463102,0.944444444444444,0.947250280583614,1.97
21,100,0.0181310795498317,0.9,0.85,0.89914219678285,0.9,0.904320987654321,2
22,100,0.0181310795498317,0.855555555555556,0.783333333333333,0.853826399589112,0.855555555555556,0.862145593869732,1.98
23,100,0.0181310795498317,0.922222222222222,0.883333333333333,0.922066094197242,0.922222222222222,0.926686217008798,1.96
24,100,0.0181310795498317,0.877777777777778,0.816666666666667,0.87639864689045,0.877777777777778,0.879539815023686,2.01
25,100,0.0181310795498317,0.9,0.85,0.898738889664479,0.9,0.903439153439153,2.03
26,100,0.0181310795498317,0.933333333333333,0.9,0.932695072963922,0.933333333333333,0.934393193013883,1.94
27,100,0.0181310795498317,0.922222222222222,0.883333333333333,0.92178419637436,0.922222222222222,0.925921748502394,2.05
28,100,0.0181310795498317,0.9,0.85,0.898796767879176,0.9,0.899910434393193,1.98
29,100,0.0181310795498317,0.944444444444444,0.916666666666667,0.944049571714963,0.944444444444444,0.944683908045977,2.21
30,100,0.0181310795498317,0.933333333333333,0.9,0.932994971130564,0.933333333333333,0.93956043956044,1.89
31,10,0.0181310795498317,0.833333333333333,0.75,0.830640773055634,0.833333333333333,0.842417153996101,2
32,100,0.0181310795498317,0.888888888888889,0.833333333333333,0.887426695035727,0.888888888888889,0.900680484130695,2
33,100,0.0181310795498317,0.844444444444444,0.766666666666666,0.842067442129304,0.844444444444444,0.853176458365799,2.02
