"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.1,0.182638994438345,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,2.66999999999999
2,0.1,0.182638994438345,0.903846153846154,0.782335705316032,0.852941176470588,0.783783783783784,0.935483870967742,2.72
3,0.1,0.182638994438345,0.932692307692308,0.848585690515807,0.898550724637681,0.837837837837838,0.96875,2.85
4,0.1,0.182638994438345,0.913461538461538,0.800341296928328,0.861538461538462,0.756756756756757,1,2.73
5,0.1,0.182638994438345,0.855769230769231,0.658493870402802,0.754098360655738,0.621621621621622,0.958333333333333,2.8
6,0.1,0.182638994438345,0.865384615384615,0.679153812252093,0.766666666666667,0.621621621621622,1,2.65
7,0.1,0.182638994438345,0.894230769230769,0.755972696245734,0.830769230769231,0.72972972972973,0.964285714285714,2.75
8,0.1,0.182638994438345,0.865384615384615,0.679153812252093,0.766666666666667,0.621621621621622,1,2.89
9,1,0.182638994438345,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,2.57
10,0.1,0.182638994438345,0.884615384615385,0.732073851438385,0.8125,0.702702702702703,0.962962962962963,2.59
11,0.1,0.182638994438345,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,2.73
12,0.1,0.182638994438345,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667,2.79
13,0.1,0.182638994438345,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,2.77
14,0.1,0.182638994438345,0.846153846153846,0.638103523270987,0.741935483870968,0.621621621621622,0.92,2.71
15,0.1,0.182638994438345,0.923076923076923,0.823654090716405,0.878787878787879,0.783783783783784,1,2.86
16,0.1,0.182638994438345,0.865384615384615,0.683340582862114,0.774193548387097,0.648648648648649,0.96,2.7
17,0.1,0.182638994438345,0.855769230769231,0.658493870402802,0.754098360655738,0.621621621621622,0.958333333333333,2.83
18,0.1,0.182638994438345,0.884615384615385,0.732073851438385,0.8125,0.702702702702703,0.962962962962963,2.72
19,0.1,0.182638994438345,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,2.8
20,0.1,0.182638994438345,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,2.85
21,1,0.182638994438345,0.846153846153846,0.638103523270987,0.741935483870968,0.621621621621622,0.92,2.72
22,0.1,0.182638994438345,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,2.89
23,0.1,0.182638994438345,0.875,0.718801996672213,0.811594202898551,0.756756756756757,0.875,2.75
24,0.1,0.182638994438345,0.875,0.71160409556314,0.8,0.702702702702703,0.928571428571429,2.66
25,0.1,0.182638994438345,0.884615384615385,0.742042166184374,0.828571428571429,0.783783783783784,0.878787878787879,2.66999999999999
26,0.1,0.182638994438345,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,2.79
27,0.1,0.182638994438345,0.875,0.71160409556314,0.8,0.702702702702703,0.928571428571429,2.79
28,0.1,0.182638994438345,0.923076923076923,0.823654090716405,0.878787878787879,0.783783783783784,1,2.77
29,0.1,0.182638994438345,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,2.72
30,0.1,1.82638994438345,0.826923076923077,0.581956230460027,0.689655172413793,0.540540540540541,0.952380952380952,2.6
31,0.1,0.182638994438345,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,2.7
32,0.1,0.182638994438345,0.865384615384615,0.687419493344783,0.78125,0.675675675675676,0.925925925925926,2.75
33,0.1,0.182638994438345,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667,2.68
