"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,10,0.00258263488995487,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,6.94
2,10,0.129131744497743,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,7.61
3,100,0.0258263488995487,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,3.11
4,100,0.0258263488995487,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,7.3
5,1,0.129131744497743,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,7.45
6,100,0.00258263488995487,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.97
7,100,0.00258263488995487,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,7.61
8,100,0.0258263488995487,1,1,1,1,1,6.87
9,100,0.0258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,2.77
10,100,0.0258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,10.33
11,100,0.00258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,4.66
12,100,0.0258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,2.97
13,100,0.0258263488995487,0.98019801980198,0.96906584992343,0.976551226551227,0.985185185185185,0.96969696969697,9.6
14,100,0.0258263488995487,1,1,1,1,1,5.22
15,10,0.129131744497743,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,2.61
16,10,0.00258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,11.77
17,100,0.129131744497743,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,3.61
18,100,1.29131744497743,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,2.58
19,100,0.00258263488995487,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,11.45
20,100,0.00258263488995487,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,2.98
21,10,0.129131744497743,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.58
22,100,0.00258263488995487,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,10.8
23,10,0.129131744497743,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.86
24,10,0.0258263488995487,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.35
25,100,0.129131744497743,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,10.74
26,100,0.00258263488995487,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,2.82
27,10,0.258263488995487,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,2.34
28,100,0.00258263488995487,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,10.58
29,100,0.00258263488995487,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,2.85
30,10,0.0258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,2.09
31,100,0.0258263488995487,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,10.51
32,10,0.00258263488995487,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,2.94
33,10,0.645658722488717,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,1.95
