"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,0.00780870126288686,0.747826086956522,0.413368513632366,0.817610062893082,0.866666666666667,0.773809523809524,14.47
2,1,0.00780870126288686,0.739130434782609,0.381720430107527,0.814814814814815,0.88,0.758620689655172,8.86
3,1,0.00780870126288686,0.730434782608696,0.361111111111111,0.808641975308642,0.873333333333333,0.752873563218391,8.99
4,10,0.00780870126288686,0.743478260869565,0.393925859758821,0.81733746130031,0.88,0.763005780346821,14.62
5,1,0.00780870126288686,0.782608695652174,0.487978628673197,0.84472049689441,0.906666666666667,0.790697674418605,8.79
6,1,0.00780870126288686,0.747826086956522,0.409734513274336,0.81875,0.873333333333333,0.770588235294118,9.03
7,1,0.390435063144343,0.760869565217391,0.455445544554456,0.823151125401929,0.853333333333333,0.795031055900621,14.61
8,1,0.00780870126288686,0.752173913043478,0.414470745868691,0.823529411764706,0.886666666666667,0.76878612716763,8.78
9,100,0.00780870126288686,0.730434782608696,0.391638225255973,0.798701298701299,0.82,0.778481012658228,8.97
10,1,0.00780870126288686,0.791304347826087,0.502254283137962,0.852760736196319,0.926666666666667,0.789772727272727,14.59
11,10,0.00780870126288686,0.734782608695652,0.392377652663491,0.805111821086262,0.84,0.773006134969325,8.94
12,100,0.00780870126288686,0.682608695652174,0.272845387613685,0.766773162939297,0.8,0.736196319018405,8.99
13,10,0.00780870126288686,0.760869565217391,0.465116279069768,0.819672131147541,0.833333333333333,0.806451612903226,14.16
14,1,0.00780870126288686,0.778260869565217,0.469470827679783,0.844036697247706,0.92,0.779661016949153,8.92
15,100,0.00780870126288686,0.8,0.537587412587413,0.854430379746835,0.9,0.813253012048193,9.11
16,1,0.00780870126288686,0.756521739130435,0.415607985480944,0.829268292682927,0.906666666666667,0.764044943820225,14.13
17,10,0.00780870126288686,0.726086956521739,0.360829289810322,0.802507836990596,0.853333333333333,0.757396449704142,8.86
18,1,0.00780870126288686,0.760869565217391,0.441993824437583,0.827586206896552,0.88,0.781065088757396,9.01
19,10,0.00780870126288686,0.769565217391304,0.455560518088432,0.835913312693498,0.9,0.780346820809249,14.09
20,1,0.0780870126288686,0.739130434782609,0.381720430107527,0.814814814814815,0.88,0.758620689655172,8.85
21,1,0.00780870126288686,0.752173913043478,0.399450297755382,0.827794561933535,0.913333333333333,0.756906077348066,9.06
22,10,0.00780870126288686,0.782608695652174,0.491150442477876,0.84375,0.9,0.794117647058823,14.17
23,1,0.00780870126288686,0.773913043478261,0.46415770609319,0.839506172839506,0.906666666666667,0.781609195402299,8.83
24,10,0.00780870126288686,0.743478260869565,0.405085488820693,0.813880126182965,0.86,0.772455089820359,9.17
25,1,0.00780870126288686,0.743478260869565,0.390112359550562,0.818461538461538,0.886666666666667,0.76,14.15
26,1,0.00780870126288686,0.734782608695652,0.36140191169777,0.814589665653495,0.893333333333333,0.748603351955307,8.92
27,1,0.00780870126288686,0.778260869565217,0.498074454428755,0.83495145631068,0.86,0.811320754716981,9.02
28,1,0.00780870126288686,0.791304347826087,0.505376344086022,0.851851851851852,0.92,0.793103448275862,13.99
29,1,0.0780870126288686,0.747826086956522,0.402329749103943,0.820987654320988,0.886666666666667,0.764367816091954,8.73
30,1,0.00780870126288686,0.782608695652174,0.468085106382979,0.850299401197605,0.946666666666667,0.771739130434783,9.03
31,1,0.390435063144343,0.721739130434783,0.340501792114695,0.802469135802469,0.866666666666667,0.747126436781609,13.42
32,10,0.00780870126288686,0.747826086956522,0.416958041958042,0.816455696202532,0.86,0.77710843373494,8.92
33,100,0.00780870126288686,0.756521739130435,0.450511945392491,0.818181818181818,0.84,0.79746835443038,9.05
