"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,0.0274619881353399,1,1,1,1,1,1.97
2,100,0.0274619881353399,0.962264150943396,0.9431330472103,0.960233918128655,0.966666666666667,0.958333333333333,2.5
3,1,0.0274619881353399,1,1,1,1,1,4.94
4,1,0.0274619881353399,1,1,1,1,1,1.95
5,1,0.0274619881353399,1,1,1,1,1,1.78
6,1,0.0274619881353399,1,1,1,1,1,5.43
7,1,0.0274619881353399,0.962264150943396,0.940848214285714,0.964444444444444,0.974358974358974,0.958333333333333,1.89
8,10,0.0274619881353399,0.981132075471698,0.971304818624797,0.979107312440646,0.976190476190476,0.983333333333333,2.27
9,1,0.0274619881353399,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,5.09
10,1,0.0274619881353399,1,1,1,1,1,1.78
11,1,0.0274619881353399,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,1.79
12,1,0.0274619881353399,1,1,1,1,1,5.52
13,10,0.0274619881353399,0.962264150943396,0.942391304347826,0.956582633053221,0.956582633053221,0.956582633053221,1.78
14,1,0.274619881353399,0.962264150943396,0.942764578833693,0.95952380952381,0.95952380952381,0.95952380952381,1.84
15,1,0.0274619881353399,0.962264150943396,0.942485078676072,0.963253221873912,0.96524064171123,0.962626262626263,5.25
16,1,0.0274619881353399,1,1,1,1,1,1.78
17,0.1,0.0274619881353399,0.981132075471698,0.970604547975596,0.981703026038001,0.986666666666667,0.977777777777778,1.78
18,100,0.0274619881353399,1,1,1,1,1,5.19
19,10,0.0274619881353399,0.962264150943396,0.942013129102845,0.961697722567288,0.961697722567288,0.961697722567288,1.75
20,10,0.0274619881353399,0.962264150943396,0.942640692640693,0.957671957671958,0.957671957671958,0.957671957671958,2.08
21,1,0.0274619881353399,0.962264150943396,0.940848214285714,0.962826734780758,0.962857142857143,0.964444444444444,5.36
22,10,0.0274619881353399,0.962264150943396,0.94146880176698,0.963012743926722,0.962301587301587,0.965277777777778,1.72
23,1,0.0274619881353399,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,1.81
24,1,0.0274619881353399,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,5.64
25,10,0.0274619881353399,1,1,1,1,1,1.69
26,0.1,0.0274619881353399,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,1.83
27,1,0.0274619881353399,1,1,1,1,1,5.59
28,1,0.0274619881353399,0.962264150943396,0.942640692640693,0.961145966004686,0.96524064171123,0.958169934640523,1.75
29,1,0.0274619881353399,1,1,1,1,1,1.83
30,10,0.0274619881353399,0.981132075471698,0.971258134490239,0.978645311978645,0.976190476190476,0.982456140350877,5.65
31,1,0.0274619881353399,1,1,1,1,1,1.68
32,1,0.0274619881353399,1,1,1,1,1,1.78
33,1,0.0274619881353399,0.981132075471698,0.971289274106175,0.979524239686841,0.976190476190476,0.984126984126984,5.36
