"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,10,0.0183151642681268,0.933333333333333,0.9,0.933249791144528,0.933333333333333,0.936363636363636,3.08
2,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.07
3,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.22
4,10,0.0183151642681268,0.933333333333333,0.9,0.933249791144528,0.933333333333333,0.936363636363636,3.49
5,1,0.183151642681268,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,3.32
6,1,0.183151642681268,0.966666666666667,0.95,0.966238971304517,0.966666666666667,0.968413978494624,2.88
7,100,0.0183151642681268,0.966666666666667,0.95,0.966657404834676,0.966666666666667,0.967000370782351,3.39
8,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.38
9,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955364144361088,0.955555555555556,0.955530836732172,3
10,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,2.97000000000001
11,1,0.183151642681268,0.955555555555556,0.933333333333333,0.955357142857143,0.955555555555556,0.96078431372549,2.93
12,10,0.0183151642681268,0.966666666666667,0.95,0.96664844177146,0.966666666666667,0.967672413793103,3.03
13,100,0.0183151642681268,1,1,1,1,1,3.11
14,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955364144361088,0.955555555555556,0.955530836732172,3.19
15,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955364144361088,0.955555555555556,0.955530836732172,3.03
16,10,0.0183151642681268,0.966666666666667,0.95,0.966475255472199,0.966666666666667,0.966641947843283,2.98
17,100,0.0183151642681268,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667,3.39
18,100,0.0183151642681268,0.966666666666667,0.95,0.966238971304517,0.966666666666667,0.968413978494624,2.87
19,10,0.0183151642681268,0.933333333333333,0.9,0.932925472747497,0.933333333333333,0.933928571428571,2.87
20,10,0.0183151642681268,0.966666666666667,0.95,0.966475255472199,0.966666666666667,0.966641947843283,3.2
21,1,0.183151642681268,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927,3.1
22,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955364144361088,0.955555555555556,0.955530836732172,2.86000000000001
23,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.25
24,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955364144361088,0.955555555555556,0.955530836732172,3.06
25,100,0.0183151642681268,0.977777777777778,0.966666666666666,0.977777777777778,0.977777777777778,0.977777777777778,3.23
26,100,0.0183151642681268,0.966666666666667,0.95,0.966475255472199,0.966666666666667,0.966641947843283,3.25
27,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.09
28,100,0.0183151642681268,0.955555555555556,0.933333333333333,0.955153570755606,0.955555555555556,0.955837173579109,3.35
29,100,0.0183151642681268,0.977777777777778,0.966666666666666,0.977777777777778,0.977777777777778,0.977777777777778,3.46
30,100,0.0183151642681268,0.977777777777778,0.966666666666666,0.977576785377803,0.977777777777778,0.978494623655914,2.7
31,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.06
32,1,0.183151642681268,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,3.31
33,1,0.183151642681268,0.922222222222222,0.883333333333333,0.921148972120529,0.922222222222222,0.936936936936937,2.86
