"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,0.0822220733201743,0.941176470588235,0.873905948672304,0.953271028037383,0.953271028037383,0.953271028037383,11.33
2,1,0.0822220733201743,0.947058823529412,0.887615689731159,0.957345971563981,0.94392523364486,0.971153846153846,10.98
3,1,0.0822220733201743,0.947058823529412,0.887615689731159,0.957345971563981,0.94392523364486,0.971153846153846,11
4,1,0.0822220733201743,0.958823529411765,0.912589980902013,0.966824644549763,0.953271028037383,0.980769230769231,11.4
5,1,0.0822220733201743,0.964705882352941,0.924343569203382,0.97196261682243,0.97196261682243,0.97196261682243,11.18
6,1,0.0822220733201743,0.935294117647059,0.862641398560306,0.947867298578199,0.934579439252336,0.961538461538462,10.38
7,10,0.0822220733201743,0.941176470588235,0.874723655121592,0.952830188679245,0.94392523364486,0.961904761904762,11.79
8,1,0.0822220733201743,0.970588235294118,0.937158065947065,0.976525821596244,0.97196261682243,0.981132075471698,10.69
9,1,0.0822220733201743,0.958823529411765,0.912589980902013,0.966824644549763,0.953271028037383,0.980769230769231,10.67
10,10,0.0822220733201743,0.958823529411765,0.913151364764268,0.966507177033493,0.94392523364486,0.990196078431373,11.82
11,100,0.0822220733201743,0.958823529411765,0.912589980902013,0.966824644549763,0.953271028037383,0.980769230769231,11.22
12,1,0.0822220733201743,0.958823529411765,0.913151364764268,0.966507177033493,0.94392523364486,0.990196078431373,10.42
13,1,0.0822220733201743,0.947058823529412,0.88833746898263,0.956937799043062,0.934579439252336,0.980392156862745,11.67
14,1,0.0822220733201743,0.947058823529412,0.886884518704717,0.957746478873239,0.953271028037383,0.962264150943396,11.11
15,1,0.0822220733201743,0.988235294117647,0.974944731024318,0.990566037735849,0.981308411214953,1,10.67
16,1,0.0822220733201743,0.988235294117647,0.974781189734461,0.990654205607477,0.990654205607477,0.990654205607477,11.15
17,1,0.0822220733201743,0.970588235294118,0.937158065947065,0.976525821596244,0.97196261682243,0.981132075471698,10.84
18,1,0.0822220733201743,0.964705882352941,0.923846498432134,0.972222222222222,0.981308411214953,0.963302752293578,10.69
19,1,0.0822220733201743,0.958823529411765,0.911445155529097,0.967441860465116,0.97196261682243,0.962962962962963,11.96
20,1,0.0822220733201743,0.976470588235294,0.949562379468921,0.981308411214953,0.981308411214953,0.981308411214953,10.88
21,1,0.0822220733201743,0.947058823529412,0.886884518704717,0.957746478873239,0.953271028037383,0.962264150943396,10.7
22,1,0.0822220733201743,0.958823529411765,0.912021292325891,0.967136150234742,0.962616822429907,0.971698113207547,11.44
23,100,0.0822220733201743,0.917647058823529,0.823468328141225,0.934579439252337,0.934579439252336,0.934579439252336,10.88
24,1,0.0822220733201743,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,10.34
25,1,0.0822220733201743,0.947058823529412,0.88833746898263,0.956937799043062,0.934579439252336,0.980392156862745,11.75
26,1,0.0822220733201743,0.958823529411765,0.913151364764268,0.966507177033493,0.94392523364486,0.990196078431373,11.11
27,1,0.0822220733201743,0.964705882352941,0.924834193072955,0.971698113207547,0.962616822429907,0.980952380952381,10.61
28,1,0.0822220733201743,0.952941176470588,0.900424659540196,0.961904761904762,0.94392523364486,0.980582524271845,11.67
29,1,0.0822220733201743,0.958823529411765,0.911445155529097,0.967441860465116,0.97196261682243,0.962962962962963,10.88
30,1,0.0822220733201743,0.947058823529412,0.88833746898263,0.956937799043062,0.934579439252336,0.980392156862745,10.65
31,1,0.0822220733201743,0.947058823529412,0.887615689731159,0.957345971563981,0.94392523364486,0.971153846153846,11.63
32,10,0.0822220733201743,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,11.14
33,1,0.0822220733201743,0.935294117647059,0.864394488759971,0.946859903381643,0.91588785046729,0.98,10.64
