"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.0131452368088734,0.772277227722772,0.628795142217961,0.740148944193062,0.72037037037037,0.791162227602906
2,0.0087634912059156,0.811881188118812,0.688827630938868,0.771579199616583,0.744444444444444,0.86989247311828
3,0.00175269824118312,0.792079207920792,0.669780476412891,0.73953073953074,0.738888888888889,0.742832144299367
4,0.00175269824118312,0.742574257425743,0.591029434667497,0.711736557811309,0.707407407407407,0.717791005291005
5,0.0131452368088734,0.792079207920792,0.656072644721907,0.743126447799345,0.72037037037037,0.831182795698925
6,0.00175269824118312,0.861386138613861,0.780024891101431,0.839275125121564,0.833333333333333,0.847757922945893
7,0.0043817456029578,0.762376237623762,0.614319809069212,0.709446361668651,0.698148148148148,0.740399385560676
8,0.00175269824118312,0.712871287128713,0.554456951627624,0.691721852683925,0.692592592592593,0.710270554242185
9,0.0131452368088734,0.712871287128713,0.508804293141036,0.623098957096963,0.612962962962963,0.869369369369369
10,0.00175269824118312,0.792079207920792,0.6806684733514,0.765534465534465,0.774074074074074,0.777332264100508
11,0.00175269824118312,0.792079207920792,0.668178973717146,0.764416535845107,0.755555555555556,0.783937723293269
12,0.00175269824118312,0.801980198019802,0.682039981111286,0.771261849029666,0.759259259259259,0.79229797979798
13,0.0131452368088734,0.801980198019802,0.679517689988894,0.762027779930593,0.748148148148148,0.794211960878628
14,0.00175269824118312,0.831683168316832,0.733550589695841,0.804276178556529,0.8,0.811692176870748
15,0.00175269824118312,0.831683168316832,0.725104066602626,0.795523247008935,0.774074074074074,0.862337662337662
16,0.00175269824118312,0.782178217821782,0.659045573116465,0.748567561470787,0.748148148148148,0.75933908045977
17,0.0131452368088734,0.762376237623762,0.608842988542843,0.717597998331943,0.698148148148148,0.793269230769231
18,0.00175269824118312,0.792079207920792,0.669213973799127,0.76574414760305,0.759259259259259,0.77484327064159
19,0.00175269824118312,0.772277227722772,0.632785330382548,0.72969696969697,0.716666666666667,0.75719696969697
20,0.0043817456029578,0.762376237623762,0.61487130600572,0.730588235294118,0.714814814814815,0.766125541125541
21,0.0131452368088734,0.772277227722772,0.627186647408121,0.750592561216305,0.725925925925926,0.821044546850998
22,0.0087634912059156,0.663366336633663,0.441171684296176,0.60080603425969,0.588888888888889,0.685107376283847
23,0.0131452368088734,0.811881188118812,0.6917764214584,0.776903651903652,0.753703703703704,0.842937853107345
24,0.0043817456029578,0.772277227722772,0.62688724702859,0.733148795648796,0.712962962962963,0.792749529190207
25,0.0175269824118312,0.782178217821782,0.642880102860817,0.767392883079158,0.740740740740741,0.846560846560847
26,0.00175269824118312,0.821782178217822,0.71188589540412,0.788031272210377,0.772222222222222,0.821570544151189
27,0.0131452368088734,0.752475247524752,0.590429845904298,0.703857156949788,0.683333333333333,0.786895396270396
28,0.0131452368088734,0.801980198019802,0.676282051282051,0.785304261692504,0.759259259259259,0.854020296643247
29,0.0175269824118312,0.811881188118812,0.693009118541034,0.77689516524468,0.755555555555556,0.831122900088417
30,0.0087634912059156,0.782178217821782,0.645047923322684,0.741763553001481,0.724074074074074,0.787268004585492
31,0.0087634912059156,0.752475247524752,0.592544779732128,0.725567602631823,0.7,0.80849358974359
32,0.0131452368088734,0.772277227722772,0.61799046209505,0.729186959855754,0.698148148148148,0.887254901960784
33,0.00175269824118312,0.811881188118812,0.693548387096774,0.754285714285714,0.742592592592593,0.794236482471777
