"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.00818243110931931,0.68695652173913,0.229050279329609,0.785714285714286,0.88,0.709677419354839
2,0.00409121555465966,0.634782608695652,0.155594405594406,0.734177215189873,0.773333333333333,0.698795180722892
3,0.00409121555465966,0.68695652173913,0.289270386266094,0.767741935483871,0.793333333333333,0.74375
4,0.00613682333198948,0.639130434782609,0.125515345854329,0.749244712990937,0.826666666666667,0.685082872928177
5,0.00409121555465966,0.630434782608696,0.137626819585355,0.733542319749216,0.78,0.692307692307692
6,0.00818243110931931,0.647826086956522,0.157394843962008,0.752293577981651,0.82,0.694915254237288
7,0.00409121555465966,0.691304347826087,0.309513742071882,0.767213114754098,0.78,0.754838709677419
8,0.0409121555465966,0.656521739130435,0.045191802417236,0.787061994609164,0.973333333333333,0.660633484162896
9,0.00409121555465966,0.621739130434783,0.14377406931964,0.718446601941748,0.74,0.69811320754717
10,0.00409121555465966,0.639130434782609,0.188005104210974,0.729641693811075,0.746666666666667,0.713375796178344
11,0.00409121555465966,0.68695652173913,0.317957166392092,0.756756756756757,0.746666666666667,0.767123287671233
12,0.00409121555465966,0.665217391304348,0.218791354212616,0.758620689655172,0.806666666666667,0.715976331360947
13,0.00818243110931931,0.695652173913043,0.264840182648402,0.787878787878788,0.866666666666667,0.722222222222222
14,0.00409121555465966,0.656521739130435,0.213079255088783,0.747603833865815,0.78,0.717791411042945
15,0.00818243110931931,0.7,0.248935163274965,0.797653958944281,0.906666666666667,0.712041884816754
16,0.00818243110931931,0.678260869565217,0.180943214629451,0.786127167630058,0.906666666666667,0.693877551020408
17,0.00204560777732983,0.621739130434783,0.158890290037831,0.712871287128713,0.72,0.705882352941177
18,0.0409121555465966,0.647826086956522,0.00640000000000025,0.784,0.98,0.653333333333333
19,0.00409121555465966,0.647826086956522,0.183252959228409,0.744479495268139,0.786666666666667,0.706586826347305
20,0.00204560777732983,0.643478260869565,0.218724109362055,0.724832214765101,0.72,0.72972972972973
21,0.00409121555465966,0.7,0.328964059196617,0.773770491803279,0.786666666666667,0.761290322580645
22,0.00818243110931931,0.647826086956522,0.146587265231333,0.755287009063444,0.833333333333333,0.69060773480663
23,0.00818243110931931,0.678260869565217,0.207635009310987,0.779761904761905,0.873333333333333,0.704301075268817
24,0.0204560777732983,0.652173913043478,0.0640895218718212,0.779005524861878,0.94,0.665094339622642
25,0.00204560777732983,0.669565217391304,0.28006589785832,0.743243243243243,0.733333333333333,0.753424657534247
26,0.00409121555465966,0.678260869565217,0.237455197132616,0.771604938271605,0.833333333333333,0.718390804597701
27,0.00409121555465966,0.647826086956522,0.173102529960053,0.747663551401869,0.8,0.701754385964912
28,0.00613682333198948,0.643478260869565,0.165486725663717,0.74375,0.793333333333333,0.7
29,0.00613682333198948,0.660869565217391,0.180821917808219,0.763636363636364,0.84,0.7
30,0.00204560777732983,0.673913043478261,0.291581108829569,0.745762711864407,0.733333333333333,0.758620689655172
31,0.00818243110931931,0.673913043478261,0.178180085755122,0.78134110787172,0.893333333333333,0.694300518134715
32,0.00818243110931931,0.669565217391304,0.206896551724138,0.768292682926829,0.84,0.707865168539326
33,0.00613682333198948,0.652173913043478,0.154411764705882,0.759036144578313,0.84,0.692307692307692
