"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.000416828829363696,0.886792452830189,0.826891671203049,0.885040885040885,0.882862235803412,0.888500388500388
2,0.000416828829363696,0.811320754716981,0.712269272529859,0.797435897435897,0.795864661654135,0.803174603174603
3,0.000416828829363696,0.886792452830189,0.826608505997819,0.884744884744885,0.878306878306878,0.89573268921095
4,0.000416828829363696,0.867924528301887,0.8,0.866338259441708,0.866416040100251,0.872727272727273
5,0.000416828829363696,0.754716981132076,0.623908296943231,0.757487922705314,0.755305383022774,0.764233954451346
6,0.00208414414681848,0.679245283018868,0.49552071668533,0.635141375390736,0.672161172161172,0.629551656920078
7,0.000416828829363696,0.830188679245283,0.728359908883827,0.82943611245498,0.824175824175824,0.835707502374169
8,0.000416828829363696,0.792452830188679,0.686221743810549,0.789085888904401,0.790852130325814,0.788304093567251
9,0.000416828829363696,0.811320754716981,0.712892741061755,0.810227272727273,0.813343519225872,0.811616161616162
10,0.000416828829363696,0.905660377358491,0.857065803667745,0.90062656641604,0.902116402116402,0.902380952380952
11,0.000416828829363696,0.830188679245283,0.738630136986302,0.825162597640292,0.819837025719379,0.838095238095238
12,0.000416828829363696,0.867924528301887,0.798259923871669,0.864838864838865,0.862433862433862,0.874603174603175
13,0.000416828829363696,0.773584905660377,0.65415986949429,0.75195410079131,0.752864782276547,0.757142857142857
14,0.000416828829363696,0.773584905660377,0.652838427947598,0.746825396825397,0.749122807017544,0.760869565217391
15,0.000416828829363696,0.792452830188679,0.687231759656653,0.792736921676617,0.802648332060097,0.790505675954592
16,0.000416828829363696,0.773584905660377,0.655097613882863,0.766623766623767,0.767195767195767,0.767110082899557
17,0.000416828829363696,0.773584905660377,0.657696447793326,0.772853535353535,0.798095238095238,0.768153021442495
18,0.000416828829363696,0.830188679245283,0.740760869565217,0.824548001018589,0.824548001018589,0.824548001018589
19,0.000416828829363696,0.792452830188679,0.684694429421309,0.790919158361019,0.803312629399586,0.78546365914787
20,0.000416828829363696,0.867924528301887,0.799676025917927,0.870279146141215,0.873015873015873,0.868720821661998
21,0.000416828829363696,0.849056603773585,0.766262403528115,0.852380952380952,0.861904761904762,0.846402691511387
22,0.000416828829363696,0.792452830188679,0.674301675977654,0.773055555555556,0.771031746031746,0.79079939668175
23,0.000416828829363696,0.830188679245283,0.746680828465215,0.83143653731889,0.846065699006875,0.842892156862745
24,0.000416828829363696,0.830188679245283,0.737045203969129,0.825854700854701,0.81563534504711,0.845299145299145
25,0.000416828829363696,0.849056603773585,0.766776677667767,0.83030303030303,0.822932330827068,0.882936507936508
26,0.000416828829363696,0.811320754716981,0.714439655172414,0.804862473912095,0.803007518796993,0.80952380952381
27,0.000416828829363696,0.811320754716981,0.715206878022569,0.812543554006969,0.822256175197352,0.808479532163743
28,0.000416828829363696,0.886792452830189,0.828848223896663,0.881101454692708,0.887318563789152,0.880701754385965
29,0.000416828829363696,0.830188679245283,0.738773274917853,0.824086273361636,0.822593167701863,0.826808315299364
30,0.000416828829363696,0.735849056603774,0.593201754385965,0.72005772005772,0.714285714285714,0.76984126984127
31,0.000416828829363696,0.849056603773585,0.766133480419195,0.847180006754475,0.840450310559006,0.874269005847953
32,0.000416828829363696,0.830188679245283,0.73646408839779,0.825854700854701,0.819616977225673,0.836111111111111
33,0.000416828829363696,0.754716981132076,0.627768773635873,0.744718586182001,0.744110275689223,0.746031746031746
