"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.000606900458778642,0.9,0.85,0.899683308494784,0.9,0.907020872865275
2,0.242760183511457,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
3,0.242760183511457,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
4,0.242760183511457,0.977777777777778,0.966666666666666,0.977774690500448,0.977777777777778,0.978136200716846
5,0.242760183511457,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
6,0.242760183511457,1,1,1,1,1
7,0.242760183511457,0.977777777777778,0.966666666666666,0.977576785377803,0.977777777777778,0.978494623655914
8,0.000606900458778642,0.955555555555556,0.933333333333333,0.955357142857143,0.955555555555556,0.96078431372549
9,0.000606900458778642,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
10,0.242760183511457,0.955555555555556,0.933333333333333,0.955506117908787,0.955555555555556,0.956845238095238
11,0.242760183511457,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927
12,0.242760183511457,0.966666666666667,0.95,0.966238971304517,0.966666666666667,0.968413978494624
13,0.242760183511457,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927
14,0.242760183511457,0.955555555555556,0.933333333333333,0.95468509984639,0.955555555555556,0.958333333333333
15,0.000606900458778642,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
16,0.000606900458778642,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
17,0.000606900458778642,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
18,0.242760183511457,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927
19,0.000606900458778642,0.922222222222222,0.883333333333333,0.921148972120529,0.922222222222222,0.936936936936937
20,0.000606900458778642,1,1,1,1,1
21,0.000606900458778642,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
22,0.242760183511457,0.955555555555556,0.933333333333333,0.95468509984639,0.955555555555556,0.958333333333333
23,0.000606900458778642,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
24,0.242760183511457,0.966666666666667,0.95,0.966238971304517,0.966666666666667,0.968413978494624
25,0.242760183511457,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927
26,0.242760183511457,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
27,0.242760183511457,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667
28,0.242760183511457,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957
29,0.242760183511457,0.955555555555556,0.933333333333333,0.954852979443143,0.955555555555556,0.958944281524927
30,0.0015172511469466,0.977777777777778,0.966666666666666,0.977576785377803,0.977777777777778,0.978494623655914
31,0.242760183511457,0.955555555555556,0.933333333333333,0.955357142857143,0.955555555555556,0.96078431372549
32,0.242760183511457,1,1,1,1,1
33,0.242760183511457,0.944444444444444,0.916666666666667,0.944055944055944,0.944444444444444,0.952380952380952
