"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec"
1,0.196808227815357,0.913461538461538,0.80772391125719,0.873239436619718,0.837837837837838,0.911764705882353
2,0.00492020569538392,0.913461538461538,0.805324459234609,0.869565217391304,0.810810810810811,0.9375
3,0.196808227815357,0.913461538461538,0.810064935064935,0.876712328767123,0.864864864864865,0.888888888888889
4,0.0393616455630714,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667
5,0.196808227815357,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931
6,0.196808227815357,0.903846153846154,0.785035138486978,0.857142857142857,0.810810810810811,0.909090909090909
7,0.196808227815357,0.942307692307692,0.872601061657819,0.916666666666667,0.891891891891892,0.942857142857143
8,0.196808227815357,0.942307692307692,0.871021083092187,0.914285714285714,0.864864864864865,0.96969696969697
9,0.196808227815357,0.942307692307692,0.874142799515934,0.918918918918919,0.918918918918919,0.918918918918919
10,0.196808227815357,0.942307692307692,0.872601061657819,0.916666666666667,0.891891891891892,0.942857142857143
11,0.196808227815357,0.913461538461538,0.802864363942713,0.865671641791045,0.783783783783784,0.966666666666667
12,0.196808227815357,0.884615384615385,0.751295336787565,0.842105263157895,0.864864864864865,0.82051282051282
13,0.196808227815357,0.932692307692308,0.848585690515807,0.898550724637681,0.837837837837838,0.96875
14,0.196808227815357,0.903846153846154,0.787668436096366,0.861111111111111,0.837837837837838,0.885714285714286
15,0.196808227815357,0.932692307692308,0.848585690515807,0.898550724637681,0.837837837837838,0.96875
16,0.196808227815357,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263
17,0.196808227815357,0.923076923076923,0.830134748877093,0.888888888888889,0.864864864864865,0.914285714285714
18,0.196808227815357,0.961538461538462,0.915067374438546,0.944444444444445,0.918918918918919,0.971428571428571
19,0.0393616455630714,0.932692307692308,0.846672283066554,0.895522388059701,0.810810810810811,1
20,0.196808227815357,0.951923076923077,0.891846921797005,0.927536231884058,0.864864864864865,1
21,0.00984041139076785,0.875,0.71524852569503,0.805970149253731,0.72972972972973,0.9
22,0.196808227815357,0.894230769230769,0.764995891536565,0.845070422535211,0.810810810810811,0.882352941176471
23,0.00984041139076785,0.846153846153846,0.642765135251181,0.75,0.648648648648649,0.888888888888889
24,0.196808227815357,0.951923076923077,0.895749799518845,0.933333333333333,0.945945945945946,0.921052631578947
25,0.00492020569538392,0.923076923076923,0.828028110789583,0.885714285714286,0.837837837837838,0.939393939393939
26,0.196808227815357,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263
27,0.196808227815357,0.923076923076923,0.830134748877093,0.888888888888889,0.864864864864865,0.914285714285714
28,0.196808227815357,0.951923076923077,0.891846921797005,0.927536231884058,0.864864864864865,1
29,0.196808227815357,0.932692307692308,0.852272727272727,0.904109589041096,0.891891891891892,0.916666666666667
30,0.196808227815357,0.903846153846154,0.792746113989637,0.868421052631579,0.891891891891892,0.846153846153846
31,0.196808227815357,0.942307692307692,0.871021083092187,0.914285714285714,0.864864864864865,0.96969696969697
32,0.196808227815357,0.932692307692308,0.850451930977814,0.901408450704225,0.864864864864865,0.941176470588235
33,0.00147606170861518,0.884615384615385,0.735481136074608,0.818181818181818,0.72972972972973,0.931034482758621
