"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,0.0421060849060199,1,1,1,1,1,6.92
2,1,0.0421060849060199,0.981132075471698,0.971366828741221,0.982860909690178,0.982456140350877,0.984126984126984,7
3,1,0.0421060849060199,1,1,1,1,1,7.43
4,1,0.0421060849060199,1,1,1,1,1,6.83
5,10,0.0421060849060199,1,1,1,1,1,7.08
6,1,0.0421060849060199,1,1,1,1,1,7.04
7,0.1,0.0421060849060199,0.981132075471698,0.970224719101124,0.981969799414019,0.987179487179487,0.977777777777778,6.94
8,10,0.0421060849060199,0.981132075471698,0.971304818624797,0.979107312440646,0.976190476190476,0.983333333333333,7.08
9,1,0.0421060849060199,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,7.17
10,1,0.0421060849060199,1,1,1,1,1,6.95
11,0.1,0.0421060849060199,0.962264150943396,0.94207650273224,0.964673913043478,0.96078431372549,0.972222222222222,7.12
12,1,0.0421060849060199,1,1,1,1,1,7.42
13,10,0.0421060849060199,0.962264150943396,0.942391304347826,0.956582633053221,0.956582633053221,0.956582633053221,7.03
14,1,0.0421060849060199,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,7.11
15,0.1,0.0421060849060199,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,7.36
16,1,0.0421060849060199,1,1,1,1,1,7.11
17,0.1,0.0421060849060199,1,1,1,1,1,7.07
18,1,0.0421060849060199,1,1,1,1,1,7.31
19,10,0.0421060849060199,0.962264150943396,0.942013129102845,0.961697722567288,0.961697722567288,0.961697722567288,7.13
20,1,0.0421060849060199,0.981132075471698,0.971366828741221,0.982860909690178,0.984126984126984,0.982456140350877,6.92
21,1,0.0421060849060199,0.962264150943396,0.940848214285714,0.962826734780758,0.962857142857143,0.964444444444444,6.96
22,0.1,0.0421060849060199,0.981132075471698,0.970604547975596,0.981703026038001,0.977777777777778,0.986666666666667,6.97
23,1,0.0421060849060199,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,6.98
24,1,0.0421060849060199,0.962264150943396,0.942391304347826,0.961038961038961,0.961038961038961,0.961038961038961,7.1
25,10,0.0421060849060199,1,1,1,1,1,7.05
26,0.1,0.0421060849060199,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,6.91999999999999
27,1,0.0421060849060199,1,1,1,1,1,7.44
28,1,0.0421060849060199,0.962264150943396,0.942640692640693,0.961145966004686,0.96524064171123,0.958169934640523,7.05
29,1,0.0421060849060199,1,1,1,1,1,6.97000000000001
30,1,0.0421060849060199,1,1,1,1,1,7.3
31,0.1,0.0421060849060199,1,1,1,1,1,7.16
32,1,0.0421060849060199,1,1,1,1,1,6.94
33,10,0.0421060849060199,0.981132075471698,0.971289274106175,0.979524239686841,0.976190476190476,0.984126984126984,7.31
