"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,0.164925359603357,0.932692307692308,0.857478465152702,0.911392405063291,0.972972972972973,0.857142857142857,11.76
2,1,0.164925359603357,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263,18.45
3,10,0.164925359603357,0.932692307692308,0.855784469096672,0.909090909090909,0.945945945945946,0.875,18.61
4,10,0.164925359603357,0.951923076923077,0.896988906497623,0.935064935064935,0.972972972972973,0.9,11.14
5,1,0.164925359603357,0.971153846153846,0.938193343898574,0.961038961038961,1,0.925,18.5
6,10,0.164925359603357,0.942307692307692,0.875647668393782,0.921052631578947,0.945945945945946,0.897435897435897,19
7,10,0.164925359603357,0.951923076923077,0.898198903680501,0.936708860759494,1,0.880952380952381,11.41
8,10,0.164925359603357,0.961538461538462,0.916095199677289,0.945945945945946,0.945945945945946,0.945945945945946,18.44
9,10,0.164925359603357,0.951923076923077,0.895749799518845,0.933333333333333,0.945945945945946,0.921052631578947,18.69
10,10,0.164925359603357,0.942307692307692,0.877116975187082,0.923076923076923,0.972972972972973,0.878048780487805,11.28
11,10,0.164925359603357,0.923076923076923,0.836155966916109,0.897435897435897,0.945945945945946,0.853658536585366,18.42
12,10,0.164925359603357,0.932692307692308,0.854049719326383,0.906666666666667,0.918918918918919,0.894736842105263,19.13
13,1,0.164925359603357,0.923076923076923,0.838069287660568,0.9,0.972972972972973,0.837209302325581,11.25
14,1,0.164925359603357,0.913461538461538,0.814580031695721,0.883116883116883,0.918918918918919,0.85,18.44
15,1,0.164925359603357,0.942307692307692,0.875647668393782,0.921052631578947,0.945945945945946,0.897435897435897,18.9
16,1,0.164925359603357,0.932692307692308,0.855784469096672,0.909090909090909,0.945945945945946,0.875,11.8
17,10,0.164925359603357,0.903846153846154,0.79758660957571,0.875,0.945945945945946,0.813953488372093,18.28
18,10,0.164925359603357,0.932692307692308,0.857478465152702,0.911392405063291,0.972972972972973,0.857142857142857,18.69
19,1,0.164925359603357,0.932692307692308,0.855784469096672,0.909090909090909,0.945945945945946,0.875,11.39
20,10,0.164925359603357,0.971153846153846,0.936688311688312,0.958904109589041,0.945945945945946,0.972222222222222,19.18
21,10,0.164925359603357,0.903846153846154,0.795194958645136,0.871794871794872,0.918918918918919,0.829268292682927,18.23
22,10,0.164925359603357,0.951923076923077,0.896988906497623,0.935064935064935,0.972972972972973,0.9,12.29
23,1,0.164925359603357,0.903846153846154,0.799923047325895,0.878048780487805,0.972972972972973,0.8,18.4
24,1,0.164925359603357,0.923076923076923,0.838069287660568,0.9,0.972972972972973,0.837209302325581,18.14
25,1,0.164925359603357,0.913461538461538,0.818885448916409,0.888888888888889,0.972972972972973,0.818181818181818,11.17
26,1,0.164925359603357,0.932692307692308,0.857478465152702,0.911392405063291,0.972972972972973,0.857142857142857,18.31
27,10,0.164925359603357,0.942307692307692,0.877116975187082,0.923076923076923,0.972972972972973,0.878048780487805,18.57
28,1,0.164925359603357,0.951923076923077,0.894480519480519,0.931506849315068,0.918918918918919,0.944444444444444,11.2
29,10,0.164925359603357,0.913461538461538,0.816758026624902,0.886075949367089,0.945945945945946,0.833333333333333,18.35
30,10,0.164925359603357,0.913461538461538,0.816758026624902,0.886075949367089,0.945945945945946,0.833333333333333,18.38
31,1,0.164925359603357,0.903846153846154,0.802206162038798,0.880952380952381,1,0.787234042553192,11.18
32,1,0.164925359603357,0.923076923076923,0.83419689119171,0.894736842105263,0.918918918918919,0.871794871794872,18.41
33,1,0.164925359603357,0.932692307692308,0.859133126934985,0.91358024691358,1,0.840909090909091,19.08
