Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.7799479166666667,0.7593996680218031,0.7643173889684644,0.7628632141426828,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",165.38734393200002,0.7110206117021277
2,0.7786458333333333,0.7541394898011354,0.7562507105469891,0.7549827140606107,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",173.78688124500002,0.7205784574468085
3,0.7812500000000001,0.7575983248621717,0.7622837470456074,0.7583644348798592,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",179.593722407,0.6585771276595744
4,0.7825520833333335,0.7593592349196658,0.7606826581565107,0.7623875934876332,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",175.458348179,0.7015458776595744
5,0.7760416666666667,0.7501426842012305,0.7525102448852964,0.7503593984758091,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",162.451816257,0.7022938829787234
6,0.7734375000000001,0.7510471106552118,0.7564852672776977,0.7503809836946074,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",179.344815732,0.6527593085106383
7,0.7851562500000001,0.7610309850002266,0.7628574410817126,0.7633001788456364,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",175.128850692,0.6741190159574468
8,0.7734375000000001,0.7502010814223697,0.7539815943408793,0.7516607421790193,5,"glucose, pressure, mass, pedigree, age",11,"pressure, mass, age, glucose*mass, glucose*pedigree, pressure^2, pressure*mass, pressure*pedigree, pressure*age, mass*age, age^2",171.708304176,0.7144281914893617
9,0.77734375,0.7508490656696022,0.7586533806770999,0.7513116661843364,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",175.91327165200002,0.6821808510638298
10,0.7864583333333335,0.7615285783933613,0.7648155222924067,0.7626059816422901,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",171.147854365,0.707779255319149
