Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9766666666666668,0.9755160095152468,0.9795522995522994,0.9753703703703701,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.7758065949999997,0.9778922872340425
2,0.9733333333333334,0.9731371813069666,0.9753968253968253,0.9738047138047137,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.76200086,0.9789727393617021
3,0.9733333333333333,0.9719547490304201,0.9743241943241943,0.9720159932659932,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.815083492,0.9784740691489362
4,0.9733333333333334,0.9702399409940803,0.9685185185185187,0.9759259259259256,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.770683911,0.9786402925531915
5,0.9800000000000001,0.9785671917011264,0.9798433048433045,0.9791919191919192,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.81624682,0.9765625
6,0.9733333333333334,0.9716634954163561,0.9726286676286676,0.9746866096866096,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.771530919,0.9768949468085106
7,0.9733333333333334,0.9736175413965349,0.9762385762385758,0.9747474747474746,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.802696305,0.9769780585106383
8,0.9700000000000001,0.9698873741165119,0.9720697358197355,0.9727938727938726,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.799570517,0.9783909574468085
9,0.9766666666666668,0.9763641414314904,0.9758694083694082,0.9794320494320491,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.755376821,0.9771442819148937
10,0.9733333333333334,0.9724850203037455,0.9760113960113959,0.9712962962962962,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.818125874,0.9769780585106383
