Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9736379613356767,0.9720061373158746,0.9679157889486432,0.9777996432842098,10,"compactness1, concavity1, concave_points1, symmetry1, texture2, perimeter2, radius3, texture3, smoothness3, concavity3",17,"perimeter2, radius3, perimeter2*compactness1, texture3*compactness1, texture3*concave_points1, symmetry1*perimeter2, symmetry1*texture3, texture2^2, texture2*texture3, texture2*concavity3, perimeter2^2, smoothness3*perimeter2, perimeter2*concavity3, radius3^2, smoothness3*radius3, smoothness3*texture3, texture3*concavity3",1351.181369248,0.06873337765957446
2,0.9753954305799649,0.9737965122071535,0.9701245709284219,0.9792357442595219,12,"texture1, symmetry1, radius2, concave_points2, fractal_dimension2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, fractal_dimension3",28,"texture1, radius3, texture3, smoothness3, fractal_dimension3, texture1^2, symmetry1*texture1, texture1*radius3, smoothness3*texture1, symmetry1^2, radius2*radius3, radius2*texture3, smoothness3*radius2, compactness3*radius2, radius2*fractal_dimension3, fractal_dimension2^2, texture3*fractal_dimension2, compactness3*fractal_dimension2, concave_points3*fractal_dimension2, radius3^2, concave_points3*radius3, radius3*fractal_dimension3, smoothness3*texture3, compactness3*texture3, texture3*concavity3, texture3*concave_points3, smoothness3*concavity3, compactness3^2",1347.717428904,0.07064494680851063
3,0.9806678383128296,0.9794815941744279,0.9772856318420169,0.9826944145879034,7,"texture1, symmetry1, compactness2, radius3, texture3, smoothness3, concavity3",10,"radius3, texture1^2, texture3*texture1, smoothness3*texture1, texture1*concavity3, symmetry1*radius3, radius3^2, texture3*radius3, texture3^2, smoothness3*texture3",1283.976008172,0.10089760638297872
4,0.9736379613356764,0.9697027215081084,0.964077317582819,0.9775412292315012,12,"radius1, texture1, smoothness1, perimeter2, concavity2, concave_points2, fractal_dimension2, smoothness3, compactness3, concavity3, concave_points3, symmetry3",32,"radius1, smoothness1, perimeter2, concave_points2, fractal_dimension2, concave_points3, smoothness1*radius1, perimeter2*radius1, concavity2*radius1, compactness3*radius1, concave_points3*radius1, symmetry3*radius1, concavity2*texture1, texture1*fractal_dimension2, smoothness3*texture1, texture1*concavity3, smoothness1*fractal_dimension2, compactness3*smoothness1, smoothness1*symmetry3, perimeter2^2, compactness3*perimeter2, perimeter2*concavity3, perimeter2*concave_points3, concavity2*concave_points3, concavity2*symmetry3, symmetry3*concave_points2, fractal_dimension2^2, smoothness3*concavity3, compactness3^2, compactness3*concavity3, compactness3*concave_points3, concave_points3*symmetry3",1350.533023208,0.06881648936170212
5,0.9789103690685413,0.9766667379874358,0.9717200956964683,0.9834401183823642,9,"texture1, concave_points1, perimeter2, concave_points2, radius3, smoothness3, compactness3, concavity3, concave_points3",16,"perimeter2, radius3, smoothness3*texture1, compactness3*texture1, texture1*concavity3, concave_points3*texture1, perimeter2*concave_points1, perimeter2*concave_points2, smoothness3*perimeter2, perimeter2*concavity3, perimeter2*concave_points3, compactness3*concave_points2, radius3^2, concave_points3*radius3, smoothness3*compactness3, concavity3^2",1347.888038737,0.07480053191489362
6,0.9824253075571179,0.9802415773536681,0.9771506633075632,0.9848544151338606,13,"texture1, smoothness1, compactness1, concavity1, radius2, smoothness2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",36,"texture1, compactness1, radius3, texture3, concave_points3, texture1^2, radius2*texture1, texture1*radius3, texture3*texture1, texture1*concavity3, concave_points3*texture1, texture1*symmetry3, smoothness2*smoothness1, smoothness3*smoothness1, compactness3*smoothness1, smoothness1*symmetry3, compactness1^2, radius3*compactness1, concave_points3*compactness1, concavity1*smoothness2, concavity1*texture3, smoothness2*radius2, radius2*radius3, radius2*concavity3, radius2*concave_points3, radius2*symmetry3, smoothness2*texture3, smoothness2*concavity3, radius3^2, compactness3*radius3, radius3*symmetry3, smoothness3*texture3, texture3*concavity3, smoothness3^2, compactness3*concave_points3, symmetry3^2",1351.681433812,0.06956449468085106
7,0.9806678383128296,0.9784775027676071,0.9733501246452583,0.9855788556252572,13,"texture1, smoothness1, compactness1, concavity1, radius2, concave_points2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",37,"texture1, smoothness1, concave_points2, radius3, texture3, smoothness3, texture1^2, texture1*compactness1, texture1*concave_points2, texture1*radius3, smoothness3*texture1, texture1*concavity3, concave_points3*texture1, smoothness1*compactness1, concavity1*smoothness1, smoothness1*texture3, smoothness1*concavity3, smoothness1*symmetry3, smoothness3*compactness1, compactness3*compactness1, concavity1^2, concavity1*radius3, concavity1*texture3, concavity1*smoothness3, concavity1*symmetry3, radius2*texture3, concave_points2^2, radius3*concave_points2, compactness3*concave_points2, radius3^2, smoothness3*radius3, radius3*concavity3, concave_points3*radius3, radius3*symmetry3, smoothness3*texture3, texture3*concavity3, symmetry3*concavity3",1352.054149513,0.07006316489361702
8,0.9789103690685413,0.9768938857725369,0.9725848255554993,0.9832717043043637,9,"texture1, compactness1, concavity1, symmetry2, radius3, smoothness3, concavity3, concave_points3, symmetry3",13,"concavity1, radius3, texture1*compactness1, concavity1*texture1, concave_points3*texture1, texture1*symmetry3, concave_points3*compactness1, symmetry2^2, radius3^2, smoothness3*radius3, radius3*concavity3, radius3*symmetry3, smoothness3*concavity3",1345.757370539,0.07712765957446809
9,0.9824253075571179,0.9808653908906629,0.9764785684996135,0.9861684154072858,11,"texture1, symmetry1, radius2, smoothness2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, fractal_dimension3",25,"symmetry1, radius3, radius2*texture1, smoothness3*texture1, compactness3*texture1, concave_points3*texture1, symmetry1^2, smoothness3*symmetry1, compactness3*symmetry1, symmetry1*concavity3, smoothness2*radius2, radius2*radius3, radius2*concave_points3, radius2*fractal_dimension3, smoothness2*concavity3, radius3^2, texture3*radius3, smoothness3*radius3, radius3*concavity3, texture3*concavity3, texture3*concave_points3, smoothness3*compactness3, compactness3*concavity3, fractal_dimension3*concavity3, concave_points3^2",1346.9680990020001,0.0694813829787234
10,0.9824253075571177,0.9801969147510997,0.9749017678279541,0.9868117128936552,12,"texture1, smoothness1, compactness1, concavity1, radius2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",34,"texture1, radius2, radius3, symmetry3, texture1^2, smoothness1*texture1, texture1*compactness1, radius2*texture1, texture1*radius3, texture3*texture1, concave_points3*texture1, texture1*symmetry3, smoothness1^2, concavity1*smoothness1, radius2*compactness1, radius3*compactness1, concavity1*radius2, concavity1*texture3, concavity1*compactness3, radius2*radius3, radius2*texture3, smoothness3*radius2, radius2*concavity3, radius2*concave_points3, radius2*symmetry3, radius3^2, compactness3*radius3, radius3*concavity3, smoothness3*texture3, texture3*concave_points3, smoothness3*compactness3, smoothness3*concavity3, concave_points3*concavity3, concave_points3*symmetry3",1349.038066455,0.07313829787234043
