Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.7695312500000001,0.7537591318288784,0.7653064317585173,0.7518382564915898,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",33.678631776,0.885970744680851
2,0.7773437500000001,0.7593097746985681,0.7694866900286544,0.7553061815540156,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",14.891517308,0.8834773936170213
3,0.7734375000000001,0.7556800839198194,0.7704032116312285,0.7533193800384461,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",7.527953488,0.890375664893617
4,0.7695312500000001,0.7518461488000148,0.7608253430219826,0.749817646336016,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",33.52278244,0.8771609042553191
5,0.7734375,0.7547765068987748,0.7660503715204724,0.7504738067190098,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",14.555569401,0.8853889627659575
6,0.7695312500000001,0.7505293512456341,0.7616351277284659,0.7476236259792634,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",8.358871015,0.8832280585106383
7,0.7760416666666667,0.7571668961614996,0.766329035437363,0.7564634946902803,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",32.008804373,0.8917054521276596
8,0.7747395833333334,0.7586776951334362,0.7698122979292542,0.7558913375834699,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",16.064280739,0.8774102393617021
9,0.7708333333333335,0.7501290871633483,0.7660679745490052,0.7492926970694496,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",8.304991321000001,0.8902094414893617
10,0.7799479166666667,0.7607149815829934,0.7709071388910785,0.7572893506842491,4,"glucose, mass, pedigree, age",9,"glucose, mass, pedigree, age, glucose*mass, mass*age, pedigree^2, pedigree*age, age^2",34.19419587,0.8929521276595744
11,0.7695312500000001,0.7526539922194408,0.7654231131958281,0.7524881819918804,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",13.044561272,0.899185505319149
12,0.7760416666666667,0.7566574209284165,0.7672986948127347,0.7537893376564926,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",7.953496182,0.8854720744680851
13,0.7747395833333333,0.7594975284694067,0.7730648512122437,0.757641715124075,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",31.366813202,0.898188164893617
14,0.7760416666666667,0.7586629315405227,0.7694468915493491,0.7555330192069939,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",11.778203830999999,0.897689494680851
15,0.7747395833333334,0.7590871896222702,0.7701814400770042,0.7550308929440976,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",9.98973067,0.8996010638297872
16,0.7747395833333334,0.75614645738398,0.7650498231279875,0.7550702884611477,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",34.887795771,0.8803191489361702
17,0.7708333333333334,0.7545833046889808,0.7666361866587577,0.7525773691712345,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",13.293542825000001,0.8907912234042553
18,0.7747395833333335,0.755112006705539,0.7677311889646978,0.7529065116301616,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",8.166725625,0.8975232712765957
19,0.7708333333333334,0.7542157872355274,0.7645693086881085,0.7511385386779569,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",32.511670281,0.8880485372340425
20,0.7747395833333334,0.756795124141566,0.7695800466295333,0.7580980633720483,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",16.175517571,0.8837267287234043
21,0.7773437500000001,0.758295239266346,0.7687505639235701,0.7561938116780822,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",8.022310593,0.9007646276595744
22,0.7734374999999999,0.7539899479235539,0.7642476168857417,0.7571545717085374,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",32.624006095,0.8856382978723404
23,0.7721354166666667,0.7558195334335046,0.7675265819988859,0.7537084482153797,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",17.59034122,0.8799035904255319
24,0.7747395833333334,0.7563752511584052,0.7708580960872518,0.7580708303445857,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",6.996745598,0.8831449468085106
25,0.7773437500000001,0.7602719855548592,0.7702681043691006,0.7564233017034142,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",33.254445335,0.882563164893617
26,0.7747395833333335,0.756285302612965,0.7669247570936122,0.7533402701880165,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",18.483027239000002,0.8807347074468085
27,0.7760416666666667,0.7564415800670139,0.7700001725353854,0.7550602287509387,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",34.218338925,0.879155585106383
28,0.7721354166666666,0.7534397217562578,0.7629218071341162,0.7531233808245378,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",17.835645528,0.8836436170212766
29,0.7747395833333334,0.7550393979963658,0.7667835336392198,0.7548651971964607,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",31.868178758000003,0.8966090425531915
30,0.7734375,0.7542741676191034,0.7660236445154397,0.7516579768244822,4,"glucose, mass, pedigree, age",7,"glucose, mass, pedigree, age, glucose^2, pedigree^2, age^2",16.911690454,0.8858876329787234
