Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9887640449438205,0.9899048551777534,0.9928838951310863,0.988443017656501,6,"V1, V4, V5, V7, V11, V13",13,"V1, V7, V11, V13, V5*V1, V7*V1, V4^2, V4*V13, V5*V7, V5*V13, V7*V11, V11*V13, V13^2",665.058886148,0.504404920212766
2,0.9943820224719104,0.9944805834811751,0.9966292134831463,0.9932584269662923,6,"V1, V3, V7, V9, V11, V13",10,"V1, V3, V7, V11, V13, V3*V11, V7*V11, V7*V13, V11*V13, V13^2",1604.447723169,0.49808843085106386
3,0.9831460674157306,0.9810415551988587,0.983866320944973,0.9842015662240383,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1232.262407286,0.5062333776595744
4,0.9887640449438203,0.9901127293063844,0.9920411985018728,0.9895666131621189,6,"V1, V4, V5, V7, V11, V13",12,"V1, V7, V13, V1^2, V7*V1, V11*V1, V13*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11",656.533227137,0.5167885638297872
5,0.9943820224719102,0.9935794542536117,0.9969356486210421,0.9915730337078653,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1132.305239923,0.5040724734042553
6,0.9943820224719104,0.992937399678973,0.9957865168539328,0.9915730337078654,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1419.069229188,0.48246343085106386
7,0.9887640449438205,0.9894317623332827,0.9920411985018729,0.988443017656501,6,"V1, V3, V7, V9, V11, V13",10,"V1, V3, V7, V11, V13, V1^2, V13*V1, V3*V11, V7*V11, V13^2",630.473500778,0.5068151595744681
8,0.9943820224719104,0.9935794542536117,0.9969356486210421,0.9915730337078654,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1354.85940638,0.48761635638297873
9,0.9943820224719102,0.9954287909344091,0.9954521134296416,0.9960205992509363,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1369.631127343,0.48836436170212766
10,0.9831460674157306,0.9827502553626152,0.9873075322513527,0.9830524344569291,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",656.741867471,0.5009142287234043
11,0.9887640449438203,0.9889974361884475,0.98832709113608,0.9914727126805778,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1317.3637887789998,0.4965093085106383
12,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,6,"V1, V4, V5, V7, V11, V13",13,"V1, V7, V11, V13, V5*V1, V7*V1, V4^2, V4*V13, V5*V7, V5*V13, V7*V11, V11*V13, V13^2",1480.827216372,0.49418218085106386
13,0.9887640449438203,0.9885521885521886,0.990714731585518,0.98832709113608,6,"V1, V3, V7, V9, V11, V13",10,"V1, V3, V7, V13, V1^2, V13*V1, V9*V3, V3*V11, V7*V11, V13^2",654.864772199,0.5057347074468085
14,0.9831460674157306,0.9793509860925594,0.9847512038523277,0.9783306581059392,6,"V1, V3, V7, V9, V11, V13",9,"V1, V7, V13, V3*V11, V3*V13, V7*V11, V9^2, V9*V11, V13^2",1574.8810853510001,0.49251994680851063
15,0.9887640449438205,0.9878513203034025,0.9931903302689822,0.9848314606741575,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1288.895094542,0.4898603723404255
16,0.9887640449438203,0.9863921053610415,0.9878277153558054,0.9876404494382024,6,"V1, V4, V5, V7, V11, V13",12,"V1, V7, V13, V1^2, V7*V1, V4^2, V7*V4, V5*V7, V5*V11, V5*V13, V7*V11, V13^2",724.256470943,0.5063996010638298
17,0.9943820224719104,0.9936617689426681,0.995184590690209,0.9932584269662923,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1195.267599629,0.5199468085106383
18,0.9943820224719102,0.9943427359157699,0.9943820224719102,0.9951845906902088,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1331.670212974,0.508061835106383
19,0.9887640449438203,0.9885597548518898,0.9901685393258429,0.9887640449438203,6,"V1, V4, V5, V7, V11, V13",14,"V1, V4, V7, V13, V1^2, V4*V1, V5*V1, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",712.590361869,0.4783909574468085
20,0.9943820224719104,0.9956329891279628,0.9966292134831463,0.995184590690209,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1331.939362562,0.49775598404255317
21,0.9831460674157306,0.9832290713426138,0.9887105403959338,0.9806491885143572,6,"V1, V3, V7, V9, V11, V13",9,"V1, V3, V7, V13, V3*V11, V7*V11, V7*V13, V9*V13, V13^2",1397.585466727,0.49659242021276595
22,0.9943820224719102,0.9955056179775283,0.9957865168539328,0.9957865168539328,6,"V1, V3, V7, V9, V11, V13",11,"V1, V3, V7, V11, V13, V9*V1, V3*V11, V9*V7, V7*V11, V7*V13, V13^2",682.043222572,0.4987533244680851
23,0.9887640449438205,0.9881423524238429,0.9918138041733549,0.9865168539325845,6,"V1, V3, V7, V9, V11, V13",10,"V1, V3, V7, V13, V1^2, V13*V1, V9*V3, V3*V11, V7*V11, V13^2",1366.440942748,0.499750664893617
24,0.9943820224719104,0.9951615504542769,0.9943820224719104,0.9966292134831463,6,"V1, V4, V5, V7, V11, V13",13,"V1, V4, V7, V13, V1^2, V5*V1, V13*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1413.9834077360001,0.4890292553191489
25,0.9943820224719102,0.9951615504542769,0.9966292134831463,0.9943820224719102,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",658.793435217,0.49950132978723405
26,0.9943820224719102,0.9911840968020744,0.9954521134296416,0.9893882646691636,6,"V1, V3, V7, V9, V11, V13",10,"V1, V3, V7, V11, V13, V1^2, V13*V1, V3*V11, V7*V11, V13^2",1269.791775748,0.49700797872340424
27,0.9943820224719104,0.9949528330228927,0.9962546816479403,0.9943820224719104,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",670.452735567,0.47465093085106386
28,0.9775280898876406,0.9672595687883486,0.9689673622257893,0.9755216693418942,7,"V1, V3, V4, V6, V9, V12, V13",14,"V1, V3, V4, V12, V13, V6*V1, V6*V4, V9*V4, V12*V4, V6^2, V9*V6, V6*V13, V9^2, V13^2",1575.405264303,0.4265292553191489
29,0.9887640449438203,0.9895666131621189,0.9915730337078653,0.9903691813804174,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",681.918637709,0.48404255319148937
30,0.9887640449438203,0.987562250483599,0.9933984035107631,0.9845728553593723,6,"V1, V4, V5, V7, V11, V13",10,"V1, V7, V13, V7*V1, V4^2, V7*V4, V5*V7, V5*V13, V7*V11, V13^2",1146.8856018489998,0.48919547872340424
