Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.96,0.9549115715343788,0.9582535982535981,0.9588247863247862,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",21,"V4, V5, V8, V1^2, V4*V1, V6*V1, V9*V1, V2^2, V3^2, V4^2, V9*V4, V5^2, V5*V8, V6^2, V7*V6, V6*V8, V7^2, V7*V8, V9*V7, V8^2, V9^2",1014.194617579,0.4926030585106383
2,0.9566666666666667,0.9543996404701076,0.9559102934102933,0.9569793169793168,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",21,"V4, V5, V7, V9, V1^2, V4*V1, V6*V1, V9*V1, V2^2, V3*V2, V5*V2, V7*V2, V3^2, V9*V3, V4^2, V5^2, V6^2, V7^2, V7*V8, V8^2, V9^2",2195.029354882,0.49576130319148937
3,0.9466666666666667,0.9387927205802787,0.9364736652236652,0.9512606837606837,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",26,"V2, V3, V4, V5, V6, V8, V9, V1^2, V2*V1, V4*V1, V5*V1, V7*V1, V9*V1, V2^2, V6*V2, V3^2, V4^2, V5^2, V5*V8, V6^2, V6*V8, V7^2, V9*V7, V8^2, V9*V8, V9^2",2428.8385893580003,0.49443151595744683
4,0.9633333333333335,0.9619312762533667,0.9663332038332036,0.9614646464646462,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",26,"V4, V5, V6, V7, V8, V9, V1^2, V4*V1, V5*V1, V8*V1, V2^2, V2*V4, V5*V2, V6*V2, V3^2, V4^2, V9*V4, V5^2, V5*V8, V6^2, V7^2, V7*V8, V9*V7, V8^2, V9*V8, V9^2",1009.7831984769999,0.49459773936170215
5,0.96,0.9593903416778188,0.9618944018944016,0.9609628334628333,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",18,"V5, V1^2, V4*V1, V2^2, V2*V4, V7*V2, V3^2, V4^2, V5*V4, V6*V4, V9*V4, V5^2, V5*V6, V6^2, V7*V6, V7^2, V8^2, V9^2",2265.7696861629997,0.4910239361702128
6,0.9466666666666667,0.9466992948995238,0.9505218855218853,0.9477894327894326,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",29,"V5, V6, V7, V9, V1^2, V4*V1, V5*V1, V6*V1, V9*V1, V2^2, V3*V2, V5*V2, V6*V2, V9*V2, V3^2, V7*V3, V9*V3, V4^2, V5*V4, V7*V4, V5^2, V5*V6, V9*V5, V6^2, V6*V8, V7^2, V7*V8, V8^2, V9^2",2405.465022272,0.4923537234042553
7,0.9466666666666667,0.945203242421371,0.9473496873496872,0.9484896584896582,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",28,"V1, V2, V3, V4, V5, V6, V9, V1^2, V2*V1, V3*V1, V4*V1, V5*V1, V9*V1, V2^2, V3^2, V3*V8, V9*V3, V4^2, V5^2, V9*V5, V6^2, V7*V6, V6*V8, V9*V6, V7^2, V9*V7, V8^2, V9^2",994.895848463,0.49285239361702127
8,0.9633333333333333,0.959813558196472,0.9566245791245791,0.9679485329485328,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",23,"V4, V5, V7, V1^2, V3*V1, V4*V1, V6*V1, V7*V1, V2^2, V7*V2, V9*V2, V3^2, V4^2, V5*V4, V9*V4, V5^2, V6^2, V7*V6, V7^2, V7*V8, V9*V7, V8^2, V9^2",2201.370740244,0.49285239361702127
9,0.96,0.9586575736300457,0.9577665852665851,0.9620171957671959,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",20,"V4, V5, V1^2, V4*V1, V7*V1, V2^2, V5*V2, V3^2, V7*V3, V9*V3, V4^2, V5*V4, V5^2, V5*V8, V6^2, V9*V6, V7^2, V9*V7, V8^2, V9^2",2453.000903372,0.49617686170212766
10,0.9666666666666668,0.9628338324939005,0.9641687016687014,0.9644533571004157,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",24,"V1, V2, V4, V5, V6, V7, V1^2, V4*V1, V9*V1, V2^2, V6*V2, V7*V2, V3^2, V9*V3, V4^2, V9*V4, V5^2, V5*V6, V9*V5, V6^2, V6*V8, V7^2, V8^2, V9^2",990.396392268,0.4933510638297872
11,0.96,0.9603007840656662,0.9641451141451144,0.9625433825433823,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",20,"V4, V5, V8, V1^2, V4*V1, V6*V1, V2^2, V2*V4, V3^2, V4^2, V5*V4, V6*V4, V9*V4, V5^2, V6^2, V7^2, V7*V8, V9*V7, V8^2, V9^2",2215.5847319179998,0.4906083776595745
12,0.96,0.9585175191514537,0.9581369556369553,0.9630928330928329,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",26,"V5, V6, V9, V1^2, V4*V1, V5*V1, V6*V1, V2^2, V3*V2, V7*V2, V3^2, V3*V4, V7*V3, V4^2, V5*V4, V5^2, V5*V8, V6^2, V6*V8, V9*V6, V7^2, V7*V8, V9*V7, V8^2, V9*V8, V9^2",2498.004576954,0.4953457446808511
