Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.984182776801406,0.982897615464827,0.9805793229178554,0.9863945905542529,7,"radius1, texture1, concavity1, fractal_dimension1, compactness2, perimeter3, smoothness3",15,"radius1, texture1, concavity1, compactness2, perimeter3, smoothness3, texture1*radius1, fractal_dimension1*radius1, compactness2*texture1, texture1*perimeter3, concavity1^2, concavity1*compactness2, concavity1*smoothness3, perimeter3^2, smoothness3^2",1472.525720914,0.1007313829787234
2,0.9806678383128293,0.9794105971156043,0.9759097461584438,0.9837091896845853,9,"radius1, texture1, concavity1, concave_points1, fractal_dimension1, concavity2, radius3, area3, smoothness3",25,"radius1, texture1, concavity1, concave_points1, fractal_dimension1, radius3, smoothness3, texture1*radius1, radius3*radius1, smoothness3*radius1, concavity1*texture1, concavity2*texture1, area3*texture1, smoothness3*texture1, concavity1^2, concavity1*concave_points1, concavity1*fractal_dimension1, concavity1*radius3, concavity1*smoothness3, concave_points1^2, fractal_dimension1*concave_points1, concavity2*concave_points1, radius3^2, area3*radius3, area3^2",2213.871333608,0.08128324468085106
3,0.9789103690685412,0.9773604810607509,0.97685878180984,0.9783102354181826,8,"texture1, area1, smoothness1, concavity1, fractal_dimension1, radius3, texture3, smoothness3",16,"texture1, smoothness1, concavity1, radius3, smoothness3, smoothness1*texture1, fractal_dimension1*texture1, texture3*texture1, area1*smoothness1, concavity1*smoothness1, smoothness1*radius3, smoothness3*smoothness1, concavity1^2, concavity1*fractal_dimension1, radius3^2, smoothness3*radius3",2391.431767603,0.09217087765957446
4,0.9859402460456941,0.9846634676364554,0.9812460373467029,0.9890087371087415,10,"radius1, texture1, compactness1, concavity1, concave_points1, fractal_dimension1, concave_points2, radius3, area3, smoothness3",32,"radius1, texture1, concavity1, concave_points1, fractal_dimension1, concave_points2, radius3, area3, smoothness3, radius3*radius1, area3*radius1, texture1^2, concavity1*texture1, texture1*concave_points2, texture1*radius3, area3*texture1, smoothness3*texture1, compactness1^2, radius3*compactness1, smoothness3*compactness1, concavity1^2, concavity1*concave_points1, concavity1*area3, concave_points1^2, fractal_dimension1*concave_points1, concave_points1*radius3, area3*concave_points1, smoothness3*fractal_dimension1, concave_points2^2, area3*radius3, smoothness3*radius3, area3^2",1550.719625507,0.07937167553191489
5,0.9789103690685413,0.9774954788893663,0.9742343752192069,0.9817822948180908,6,"texture1, perimeter1, concave_points2, radius3, smoothness3, concavity3",14,"texture1, perimeter1, radius3, smoothness3, concavity3, perimeter1*texture1, texture1*radius3, perimeter1*concave_points2, perimeter1*radius3, radius3*concave_points2, smoothness3*concave_points2, smoothness3*radius3, smoothness3*concavity3, concavity3^2",2038.959823162,0.14453125
6,0.9824253075571177,0.9798419522006319,0.9755564597816585,0.9853365669035933,7,"texture1, perimeter1, compactness1, symmetry2, perimeter3, smoothness3, concavity3",14,"texture1, compactness1, symmetry2, perimeter3, smoothness3, concavity3, perimeter1*texture1, texture1*perimeter3, texture1*concavity3, perimeter1*perimeter3, perimeter1*smoothness3, smoothness3^2, smoothness3*concavity3, concavity3^2",2359.456812054,0.1046376329787234
7,0.9771528998242532,0.9744579248432785,0.9727913710405429,0.9770717257768846,10,"texture1, perimeter1, compactness1, concavity1, concave_points1, fractal_dimension1, concave_points2, radius3, area3, smoothness3",30,"texture1, perimeter1, compactness1, concavity1, radius3, smoothness3, texture1^2, fractal_dimension1*texture1, texture1*concave_points2, area3*texture1, smoothness3*texture1, concavity1*perimeter1, perimeter1*concave_points2, area3*perimeter1, fractal_dimension1*compactness1, radius3*compactness1, concavity1^2, concavity1*concave_points1, concavity1*radius3, concavity1*smoothness3, concave_points1*radius3, smoothness3*concave_points1, fractal_dimension1^2, fractal_dimension1*radius3, area3*fractal_dimension1, area3*concave_points2, radius3^2, area3*radius3, smoothness3*radius3, area3^2",1561.454405685,0.07022938829787234
8,0.9806678383128293,0.9790454598241427,0.9775957436815315,0.981174966831321,7,"texture1, perimeter1, smoothness1, compactness1, radius3, smoothness3, concavity3",13,"texture1, smoothness1, radius3, smoothness3, concavity3, texture1^2, perimeter1*texture1, texture1*radius3, smoothness1*radius3, radius3^2, smoothness3^2, smoothness3*concavity3, concavity3^2",2201.866286914,0.09948470744680851
9,0.9859402460456941,0.9843829288508713,0.9836673379067833,0.9854234931536612,8,"radius1, texture1, perimeter1, smoothness1, perimeter2, smoothness2, radius3, concavity3",23,"texture1, perimeter1, smoothness1, perimeter2, smoothness2, radius3, concavity3, texture1*radius1, smoothness1*radius1, radius3*radius1, texture1^2, perimeter1*texture1, smoothness1*texture1, perimeter2*texture1, texture1*radius3, texture1*concavity3, perimeter1^2, smoothness2*smoothness1, smoothness1*concavity3, perimeter2*concavity3, smoothness2*concavity3, radius3*concavity3, concavity3^2",2389.335382513,0.08086768617021277
10,0.977152899824253,0.9755003198292787,0.971612932516883,0.9809499395615389,9,"radius1, texture1, perimeter1, compactness1, concavity1, concave_points1, concave_points2, radius3, symmetry3",24,"radius1, texture1, perimeter1, concavity1, concave_points1, radius3, symmetry3, texture1*concave_points1, texture1*concave_points2, perimeter1*compactness1, perimeter1*radius3, compactness1^2, concave_points2*compactness1, concavity1^2, concavity1*concave_points1, concavity1*radius3, concavity1*symmetry3, concave_points1^2, concave_points1*radius3, concave_points1*symmetry3, concave_points2^2, radius3*concave_points2, radius3^2, radius3*symmetry3",1572.352630436,0.07571476063829788
