Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.945868946,0.940552103,0.940330459,0.945059151,8,"X5, X6, X7, X8, X16, X18, X21, X24",29,"X5, X7, X16, X18, X21, X5^2, X5*X7, X5*X16, X18*X5, X5*X21, X24*X5, X6^2, X8*X6, X6*X16, X6*X21, X24*X6, X7*X8, X18*X7, X7*X21, X8^2, X8*X16, X18*X8, X8*X21, X18*X16, X16*X21, X24*X16, X18^2, X24*X21, X24^2",1571.769765,0.080535239
2,0.96011396,0.954000531,0.949492741,0.961912555,8,"X5, X8, X9, X13, X15, X16, X27, X29",21,"X5, X8, X13, X29, X5^2, X13*X5, X5*X16, X27*X5, X8^2, X8*X9, X13*X8, X15*X8, X9^2, X13*X9, X9*X16, X15*X13, X13*X16, X15^2, X16^2, X27*X16, X27^2",2673.493607,0.076545878
3,0.948717949,0.940532035,0.931172044,0.956331079,8,"X5, X6, X8, X9, X15, X24, X27, X30",24,"X5, X6, X8, X24, X30, X5^2, X5*X8, X15*X5, X27*X5, X5*X30, X6^2, X30*X6, X8^2, X8*X9, X8*X30, X15*X9, X24*X9, X27*X9, X15*X24, X15*X30, X24^2, X24*X30, X27^2, X30^2",2857.55825,0.072473404
4,0.951566952,0.945774573,0.93952142,0.95676715,8,"X5, X6, X8, X10, X14, X15, X16, X24",27,"X5, X8, X10, X14, X15, X16, X24, X5^2, X5*X6, X5*X10, X5*X14, X5*X16, X6^2, X8*X6, X6*X10, X14*X6, X15*X6, X8^2, X15*X8, X24*X8, X10^2, X10*X16, X24*X10, X14^2, X15*X24, X16^2, X24^2",1578.077373,0.071476064
5,0.954415954,0.948409162,0.939433281,0.961386004,10,"X4, X5, X7, X13, X16, X21, X24, X27, X29, X34",38,"X5, X16, X21, X24, X29, X34, X4^2, X4*X7, X4*X21, X24*X4, X27*X4, X4*X29, X34*X4, X5^2, X13*X5, X5*X16, X27*X5, X5*X29, X13*X7, X7*X21, X27*X7, X7*X29, X34*X7, X13^2, X13*X16, X13*X29, X16^2, X16*X21, X24*X16, X27*X16, X29*X16, X21^2, X24*X21, X29*X21, X24*X29, X27^2, X27*X29, X27*X34",2769.094616,0.061668883
6,0.943019943,0.934085636,0.927119071,0.948308926,7,"X5, X6, X8, X14, X20, X29, X30",18,"X5, X8, X29, X30, X5*X6, X5*X8, X5*X14, X5*X20, X6^2, X8*X6, X14*X6, X30*X6, X8^2, X8*X14, X20*X8, X8*X29, X8*X30, X30^2",2804.248435,0.097739362
7,0.965811966,0.961109873,0.960479433,0.966489849,7,"X5, X8, X9, X15, X16, X24, X27",16,"X5, X8, X9, X24, X5*X9, X15*X5, X27*X5, X8^2, X8*X9, X15*X8, X15*X9, X27*X9, X15^2, X15*X24, X16^2, X27^2",1473.613637,0.089760638
8,0.945868946,0.930505368,0.916403531,0.957574443,9,"X5, X6, X7, X8, X10, X16, X21, X27, X29",23,"X5, X7, X8, X10, X16, X29, X5^2, X5*X6, X27*X5, X6^2, X8*X6, X6*X10, X6*X16, X29*X6, X7*X10, X8*X10, X8*X16, X8*X29, X10^2, X16^2, X16*X21, X29*X16, X27^2",2697.923744,0.071060505
9,0.937321937,0.929978578,0.926039943,0.93699718,6,"X3, X5, X13, X16, X24, X27",13,"X3, X5, X13, X3^2, X5*X3, X24*X3, X5^2, X13*X5, X27*X5, X13^2, X16^2, X24^2, X27^2",2440.892565,0.127327128
10,0.937321937,0.926698834,0.914421237,0.950951714,7,"X3, X5, X8, X9, X13, X22, X27",18,"X5, X8, X13, X22, X5*X3, X9*X3, X13*X3, X27*X3, X5^2, X22*X5, X27*X5, X8^2, X13*X8, X27*X8, X13*X9, X13^2, X22^2, X27^2",1491.478684,0.087433511
11,0.934472934,0.92277907,0.912264402,0.945212508,7,"X5, X6, X8, X15, X24, X28, X34",21,"X5, X8, X24, X28, X34, X5^2, X5*X6, X5*X8, X6^2, X24*X6, X8^2, X15*X8, X28*X8, X15^2, X15*X24, X15*X28, X24^2, X24*X28, X24*X34, X28^2, X28*X34",2580.01544,0.088347739
